Abilene-CFR-RL,Abilene-Top-k critical,Abilene-Top-k,Abilene-ECMP
0.9698954226186992,0.8475093521582341,0.8018102852964581,0.6040254848277681
0.9730486920832225,0.8561166181193505,0.8045974179196205,0.5787278327892383
0.9829277513127654,0.8492157608459985,0.7954609070260827,0.6318763504434856
0.9855517373277588,0.839723344355891,0.7915811176981978,0.5996146381666891
0.9856209701738116,0.8706246250984861,0.7949862998312356,0.6066229616651629
0.9855779302632216,0.8612806355026258,0.8266222306849575,0.6116864115297994
0.979797720102817,0.8392661994932671,0.8372227729573514,0.6357291195547158
0.9844222126568559,0.8557309714355613,0.7943477273693393,0.6269061535768913
0.9896159301828167,0.8402815014075865,0.8429311850584194,0.6171445489802869
0.9770686950266431,0.8496487100707383,0.7961425982888667,0.6059296548152308
0.9654793379787486,0.8500177018869757,0.8360260440678761,0.5985845602782842
0.9640715060305696,0.8598100843029792,0.8567931347202274,0.6022555860196597
0.9544155785062901,0.8699044475850767,0.824914189386093,0.6438553627508844
0.9604286977900371,0.8595154068786346,0.8063374097889658,0.6342975006120198
0.9574545207638826,0.8859288683359137,0.8147189802380205,0.6583962226526264
0.9557818638468875,0.9383575156962902,0.8072832454371519,0.6448424375648688
0.9534605101509886,0.9285603038482436,0.8381399625136213,0.6670153822482858
0.9641456164509321,0.9102129758134898,0.87587435286684,0.6831699413645455
0.985806752227598,0.8480028915920256,0.875268422229645,0.7022131635947284
0.99,0.8711520711698135,0.8593985543688358,0.7226384520091079
0.9871727114172952,0.8698474680234198,0.8511494824162736,0.6725169261806028
0.9713824210430156,0.8390789244784482,0.8701172734337623,0.6795180714037119
0.9801155542619462,0.8784329940881089,0.871460691239037,0.6633546449307247
0.9847983395148403,0.861098737025298,0.8747543400262805,0.6383510731010886
0.99,0.8441895141537985,0.8579878952314799,0.6634933717095982
0.975665494329588,0.889303553730736,0.851297760587151,0.6190306905481051
0.9801808781042052,0.8669669206299242,0.8676868285647878,0.63069405313467
0.99,0.8356746736636537,0.8363940841640268,0.6147815825861692
0.9891002046379122,0.8893430138637559,0.8067587524313001,0.5979051173643574
0.99,0.8571882044538172,0.8707676685046255,0.5743108589874243
0.9846210855228652,0.8576682869804994,0.8660747084632368,0.5829120934485135
0.99,0.8911177587181781,0.8719520615287162,0.6181075733212724
0.9827742292728009,0.9091647497287587,0.8600390053299966,0.624385706298802
0.9802894647077137,0.9250449933819864,0.8520351812674135,0.6320482855279235
0.99,0.9151607636584744,0.8614535404346199,0.6465910746066306
0.969978004447619,0.9410865146222707,0.8875924979603043,0.6327528124680205
0.9655250031986867,0.9449676450973007,0.8655895970087064,0.6581701892260488
0.9707833794055829,0.8920504335993377,0.8646282441917661,0.6613122091023139
0.9625114324515316,0.8660547178230376,0.8641230053466568,0.6733370093238958
0.9722774689022583,0.9105492155561656,0.8275549219541651,0.6863514432574643
0.9719678119205544,0.92613029291463,0.846485026132783,0.6876503804427632
0.99,0.9105513254681429,0.8507300641989579,0.6750411299712601
0.9801273696604951,0.9109220058200929,0.8289035308950352,0.6492365277912928
0.9855062479324271,0.9475966030510716,0.8635646683941169,0.6671850711241171
0.9866599176835014,0.9177300317066246,0.8417069872477984,0.6914336698824729
0.9840298171488159,0.8789715610200961,0.8661750662207433,0.6483430349638344
0.9839115346223377,0.9009592429352359,0.8103645252442429,0.6388371460608874
0.99,0.9068636974714966,0.8195625834101553,0.6049195688033981
0.99,0.9202876200537198,0.8306639473920219,0.596448188122885
0.99,0.9207666805100697,0.8648534579374408,0.5754599473021882
0.99,0.9295234092745072,0.8715923884809761,0.6371362539569647
0.99,0.9331174788984868,0.872057816369091,0.6040191776356065
0.9837552599278392,0.9096189291957448,0.8614380916136901,0.6234171582184999
0.9841507440868553,0.9543323538691529,0.8484720217940612,0.615719397919653
0.9843125968609362,0.9292193741170791,0.8071129108862818,0.5978473128584387
0.99,0.9720307785798539,0.8369155266862192,0.6206623857828205
0.99,0.9683787045661845,0.8854022550069878,0.671110521549957
0.99,0.9482288393960834,0.8842790820622349,0.6637556853127823
0.99,0.9683189112383309,0.877847146404163,0.6863216160910081
0.99,0.9046804147527693,0.8598517956160092,0.712852523901468
0.99,0.8917218766620867,0.8546153148648102,0.6801406419959782
0.99,0.913053527444473,0.841759604297558,0.6899503043762018
0.99,0.8924404673450996,0.7968800494958472,0.665859495397846
0.99,0.9130647434752465,0.7929534685281984,0.6661748934275116
0.99,0.9584563431409894,0.8042706157704561,0.6948182809844454
0.99,0.9362588572898396,0.8206474407339492,0.6858528473872894
0.99,0.9050947708132103,0.8743176627991309,0.7092941946858626
