CFR-RL,Top-k critical,Top-k,ECMP
0.918991165877339,0.8733199384434405,0.659341560515169,0.5730160563060399
0.8934841587039036,0.8733363671867301,0.6560621828084024,0.557030294417562
0.9072854519398701,0.9228021575581732,0.6499036826782529,0.5698944272033177
0.9129115392940738,0.8928544727527508,0.6669834554220883,0.562522023188924
0.9147043941989725,0.8686137948827005,0.6521532147920304,0.5628146836731641
0.9243149073565572,0.8724804815946786,0.6896750177881373,0.5121874055657621
0.9334442381548641,0.8731854482045761,0.6460072151689179,0.4919955294073103
0.9454323520649452,0.8835549405739845,0.622671621540172,0.5299483720723921
0.959449702765318,0.8892523547881335,0.6531040203437939,0.5517443640689926
0.9362597696080733,0.8850021930844153,0.644821563133203,0.5347645013765484
0.9374313880150452,0.8482372252126162,0.6535260606579936,0.5439050802441391
0.9335599535809248,0.8457577712525418,0.6707054367346792,0.5549143051972865
0.9460093456554196,0.8057787289988617,0.7433445010578889,0.5335070162908794
0.9323712510583673,0.8025361519885614,0.759573304881591,0.5018333532917222
0.9357214791431921,0.8329745162393609,0.6960099798471154,0.4920471103722735
0.9016259036187644,0.8330452460512606,0.76074188456349,0.5076341227370185
0.9006611413701628,0.8135216424905355,0.7353467530483653,0.5258358914388206
0.9236649590949098,0.795824521916387,0.7606826591931828,0.5416475013484928
0.8910667498884136,0.7882098615888605,0.7764452450849051,0.5503543856111792
0.89007666469116,0.8145203515968591,0.7502639912854168,0.5528646155015202
0.871331177012384,0.8263946048030942,0.7102857027629522,0.5622794379726672
0.8741741285805321,0.8341691644895286,0.6435521698051296,0.5627965214240127
0.8711252517763811,0.820372451469306,0.649986089670677,0.5329843015635454
0.8668319926561914,0.8349355379788619,0.6410322997346658,0.5263419905748553
0.870792400647551,0.8211074171124626,0.658173270258061,0.5391855385017779
0.8926107358302297,0.8270797335322296,0.6575820501723267,0.5525650528962839
0.9031819306141743,0.8089210702155168,0.6975871210698071,0.5568542392072374
0.9073665542569158,0.837302419386827,0.7141756665784412,0.5435837671733886
0.8934664893541722,0.8516007711670822,0.7084323532259992,0.5470668898174825
0.9100284718285514,0.859719513504638,0.6926146771051909,0.535769330703886
0.9085823012377302,0.8761436803045378,0.6676621741527067,0.5738455246500684
0.9266386966050846,0.8748712056296767,0.6639915660204397,0.5673993110132663
0.9373187268448824,0.8622064138045431,0.6434884626231598,0.5685080540894546
0.9688973006212468,0.8288950836152074,0.6275754946917224,0.5675073910609302
0.9812251591247355,0.8400518536613196,0.6858194522327925,0.5706809912723082
0.9570100446163011,0.8380730531454289,0.7354647989084919,0.5811911485919501
0.9577708240384493,0.8180171388323917,0.7556419823277207,0.5534893915490576
0.9434018186768515,0.7846822282962647,0.7131520049512624,0.5405873756074671
0.9700447367872934,0.7793789203335776,0.6994692030430416,0.5691222621363079
0.9687338532313738,0.7649264535667653,0.6761715212094452,0.5754302889840771
0.9461698735409764,0.8120941221950171,0.6809229249720157,0.5414093742730729
0.9578497973831122,0.7808201534724973,0.6467740734160473,0.5250972723475996
