Mininet-CFR-RL,Mininet-Top-k critical,Mininet-Top-k,Mininet-ECMP
0.9269073638581925,0.7998431421849049,0.7239826309786731,0.5340263145137876
0.9309402587927067,0.7795616443066826,0.7057599618128456,0.5267708851705526
0.9507104540336758,0.80151546517102,0.6960891585711583,0.5150745898097611
0.9655704134433767,0.7957773105524761,0.6845626816523551,0.5268424435414142
0.9413412104295599,0.8454076392977727,0.6610534281175307,0.5391278814985931
0.9229402769428108,0.8533537408692785,0.6314588956823894,0.554049123874399
0.953769067479596,0.8594688313271348,0.7278070772286119,0.5427956887175771
0.9294476994979376,0.8479602047693813,0.7215864926357091,0.5525085415854204
0.945729179892341,0.8624110199483224,0.7170535215107051,0.5469678324316588
0.903219644578593,0.8459202193250072,0.7218005456366825,0.5485473637846142
0.9028121971879682,0.8982794420404167,0.6725620591063189,0.5394349585589773
0.8861662198975865,0.8528422262565417,0.6805647270811666,0.5415461630251266
0.8911118590177642,0.8734610365219206,0.6294884264935906,0.5515513548652577
0.9319380780085109,0.8580460828680387,0.675948369084472,0.546324462335556
0.9046702894427855,0.8912445125768217,0.6463201590257251,0.5611528626304491
0.8866069448256397,0.8755982023623721,0.6330597400553433,0.5576202692051891
0.8939262270927057,0.9123334912353818,0.6511422709032366,0.5537208754593774
0.9030565285545712,0.8924517730151327,0.6485645701956945,0.5497934392986035
0.8936514776832425,0.8289319139883756,0.6509604517729308,0.5548922915262364
0.9012919010689647,0.8228844273723144,0.6554478832068013,0.549827461260819
0.9256320966527674,0.8016351948096889,0.6626843368337992,0.5416010914362397
0.9371781421165928,0.7923936419905884,0.6679297294503133,0.5320386535135452
0.9081935868107913,0.768994429850813,0.6705309499034517,0.5373518715257588
0.9458237663108247,0.7811261618991706,0.6910438054255085,0.5216593382843516
0.9649145563438848,0.814938008843582,0.6627327342828917,0.5285151568414616
0.9585252352767938,0.801165067497731,0.6586177053290466,0.5493537808996523
0.9761049671271069,0.7736103692675792,0.6398169910134988,0.5432177015196366
0.9623718202813726,0.7899626147055641,0.6735209552664028,0.5498741164345424
0.9555071266445787,0.8374648793474364,0.7507393939466521,0.5658735026952466
0.9206779887638802,0.8765295431995718,0.7502614001409537,0.5516996582901477
0.9423693361949127,0.9220308697927345,0.7409709530112732,0.5390402739939104
0.9523235167433693,0.8868851917333318,0.7081207888622184,0.5269440963819623
0.9658656150366478,0.8523868414267721,0.7159766432365696,0.5455334585076743
0.9631591858135035,0.8183332762064272,0.6790456290997309,0.5476648802214232
