CFR-RL,Top-k critical,Top-k,ECMP
0.9517387625431168,0.9276353256510762,0.7758065959405258,0.6319706469588906
0.9172880589207439,0.9022585441559716,0.7821047042937078,0.6320827128573886
0.9197934253857152,0.9172837809434562,0.8164759843782583,0.648501439639596
0.9215292483083394,0.9503757381836664,0.8482032861962889,0.6393302192371558
0.9261482349553904,0.9439459823495242,0.7840544221112673,0.6636330112066424
0.9293626997230566,0.942799309270281,0.768612328909113,0.6772912230371771
0.9420255361131427,0.9170850480014056,0.7269435029465018,0.6832523884599544
0.9272875307110562,0.9578599028083964,0.7535616104458001,0.6992189251689693
0.9232175516638059,0.9735890580903683,0.7456510508726985,0.6663000340864217
0.9418497420066453,0.947504637374569,0.7641383006409191,0.6765555389542984
0.9607288620068324,0.9178036425714514,0.785827186942364,0.6740787118663271
0.9534977213839089,0.8965524991972798,0.7766642515006594,0.6794378551551933
0.9420349925783938,0.8754403302607274,0.7622181899249841,0.643712558750733
0.9331936849188647,0.9378932391921923,0.7887827979164702,0.6662870737560397
0.9262844098232977,0.9166813666853827,0.8124748082328926,0.6829018281624042
0.9344278672422919,0.9112643389171867,0.8005411524198791,0.6852033308302217
0.9168766140657865,0.910778917492678,0.8166259337146827,0.646023309404903
0.9193664816088161,0.9264921801605657,0.8438633218779457,0.6579510668934904
0.9436774495551659,0.9557375426074647,0.8123736196005055,0.6664157305062113
0.9473380706430399,0.9485734654464225,0.8146016448601472,0.6534526191578065
0.9425197684525082,0.9712820948075613,0.7609171039056064,0.6594846225610667
0.9373511162282758,0.9736656348415321,0.8051140024539141,0.6868392654251904
0.9375728687965011,0.9644275916748328,0.780037977492332,0.703280084668623
0.9384128642145186,0.9757919011205373,0.839893672939522,0.6642012555817634
0.9334015499612011,0.9606699763172061,0.8616840876356746,0.7138794086477936
0.9488909809380486,0.9432789314560739,0.8235363183598644,0.6852263608818728
0.9529584695773726,0.9361760351841363,0.8291279288595538,0.6878439468991149
0.9718990590772171,0.9245732784265842,0.8302615295104613,0.6694757178863798
0.9717004106955741,0.8668172818211319,0.8671030594827793,0.6990387330405342
0.991288054138634,0.8808698761298958,0.8453163395089837,0.6885996889220898
0.988177567861179,0.909032581460408,0.847749059575577,0.6567498289100518
0.9812419001388024,0.8866941344362881,0.8441686605199156,0.6734852769242841
0.9913067717537162,0.8861281889336886,0.8534746596617975,0.6228154787822866
0.9828526494521828,0.8525762088716305,0.8102093009892728,0.6370435204113971
0.979580083679189,0.8482242119137696,0.8089040704823173,0.6354524531837894
